"gene_id","gene_name","genome"
"ENSG00000270230","MTND6P22","hg38"
"ENSG00000270460","AC106900.2","hg38"
"ENSG00000270767","AL356157.2","hg38"
"ENSG00000271181","Z99916.2","hg38"
"ENSG00000271361","HTATSF1P2","hg38"
"ENSG00000271589","AL139395.1","hg38"
"ENSG00000271616","AC055876.6","hg38"
"ENSG00000271788","AC008875.1","hg38"
"ENSG00000272763","AC103702.2","hg38"
"ENSG00000272910","AC090425.2","hg38"
"ENSG00000273700","MIR6760","hg38"
"ENSG00000274466","MIR1273H","hg38"
"ENSG00000274862","RF00004","hg38"
"ENSG00000274986","MIR6750","hg38"
"ENSG00000275480","AC131055.2","hg38"
"ENSG00000275616","RF00004","hg38"
"ENSG00000276071","AC074138.1","hg38"
"ENSG00000276103","RF00015","hg38"
"ENSG00000276524","AC010999.2","hg38"
"ENSG00000276535","AL353726.1","hg38"
"ENSG00000276651","AC007950.2","hg38"
"ENSG00000276746","RF00017","hg38"
"ENSG00000278287","RF02109","hg38"
"ENSG00000278791","MIR6723","hg38"
"ENSG00000279462","AC093028.1","hg38"
"ENSG00000280067","AC023818.1","hg38"
"ENSG00000280082","AF246928.1","hg38"
"ENSG00000280187","AC022107.1","hg38"
"ENSG00000280799","DUX4L5","hg38"
"ENSG00000283196","AC006453.2","hg38"
"ENSG00000283326","MIR6860","hg38"
"ENSG00000284906","AC091057.6","hg38"
